time app subpolicy target_mem credit_bytes share min_mem min_mem_pct steal_size bytes_in_use need hits accesses shadow_q_hits survivor_items survivor_bytes evicted_items evicted_bytes hit_rate w_hit_rate live_items 
30072035 1 normal 200000000 0 200000000 20000000 10 65536 115636866 1.72955 200 1433 0 510220 102418111 0 0 0.139567 -1 571037 
30075673 2 normal 100000000 0 100000000 10000000 10 65536 162302123 0.616135 355 1472 99 1065587 355026097 43108 14273971 0.241168 -1 485394 
30075673 1 normal 200000000 0 200000000 20000000 10 65536 115653776 1.7293 208 1507 0 510220 102418111 0 0 0.138023 -1 571111 
30079206 2 normal 100000000 0 100000000 10000000 10 65536 162315449 0.616084 371 1533 99 1065587 355026097 43108 14273971 0.242009 -1 485443 
30079206 1 normal 200000000 0 200000000 20000000 10 65536 115670577 1.72905 217 1602 0 510220 102418111 0 0 0.135456 -1 571205 
30082854 2 normal 100000000 0 100000000 10000000 10 65536 162335880 0.616007 389 1600 99 1065587 355026097 43108 14273971 0.243125 -1 485498 
30082854 1 normal 200000000 0 200000000 20000000 10 65536 115686294 1.72881 220 1667 0 510220 102418111 0 0 0.131974 -1 571270 
30086421 2 normal 100000000 0 100000000 10000000 10 65536 162360455 0.615914 404 1672 99 1065587 355026097 43108 14273971 0.241627 -1 485560 
30086421 1 normal 200000000 0 200000000 20000000 10 65536 115699380 1.72862 236 1754 0 510220 102418111 0 0 0.13455 -1 571355 
30090034 2 normal 100000000 0 100000000 10000000 10 65536 162374943 0.615859 419 1743 99 1065587 355026097 43108 14273971 0.24039 -1 485620 
30090034 1 normal 200000000 0 200000000 20000000 10 65536 115709102 1.72847 243 1830 0 510220 102418111 0 0 0.132787 -1 571431 
30093637 2 normal 100000000 0 100000000 10000000 10 65536 162397202 0.615774 429 1816 99 1065587 355026097 43108 14273971 0.236233 -1 485687 
30093637 1 normal 200000000 0 200000000 20000000 10 65536 115724406 1.72824 253 1899 0 510220 102418111 0 0 0.133228 -1 571500 
30097228 2 normal 100000000 0 100000000 10000000 10 65536 162420070 0.615687 447 1891 99 1065587 355026097 43108 14273971 0.236383 -1 485747 
30097228 1 normal 200000000 0 200000000 20000000 10 65536 115740692 1.728 268 1974 0 510220 102418111 0 0 0.135765 -1 571574 
30100859 2 normal 100000000 0 100000000 10000000 10 65536 162433711 0.615636 461 1952 99 1065587 355026097 43108 14273971 0.236168 -1 485800 
30100859 1 normal 200000000 0 200000000 20000000 10 65536 115754885 1.72779 283 2045 0 510220 102418111 0 0 0.138386 -1 571645 
30104425 2 normal 100000000 0 100000000 10000000 10 65536 162450180 0.615573 469 2007 100 1065587 355026097 43108 14273971 0.233682 -1 485850 
30104425 1 normal 200000000 0 200000000 20000000 10 65536 115774731 1.72749 290 2107 0 510220 102418111 0 0 0.137636 -1 571707 
30108009 2 normal 100000000 0 100000000 10000000 10 65536 162472232 0.61549 488 2081 100 1065587 355026097 43108 14273971 0.234503 -1 485911 
30108009 1 normal 200000000 0 200000000 20000000 10 65536 115793654 1.72721 300 2189 0 510220 102418111 0 0 0.137049 -1 571789 
