time app subpolicy target_mem credit_bytes share min_mem min_mem_pct steal_size bytes_in_use need hits accesses shadow_q_hits survivor_items survivor_bytes evicted_items evicted_bytes hit_rate w_hit_rate live_items 
21800001 1 normal 800000000 194445312 994445312 80000000 10 65536 852478423 1.16653 765785 895118 4003 239726262 48432167085 39518 8063752 0.855513 -1 4218236 
21900001 2 normal 800000000 -201981952 598018048 80000000 10 65536 636081625 0.940159 932379 950000 1169 70283717 23546760347 56504 18754898 0.981452 -1 1898504 
21900001 1 normal 800000000 201981952 1001981952 80000000 10 65536 854356961 1.17279 808623 944851 4255 241839467 48859024372 39518 8063752 0.855821 -1 4227961 
22000001 2 normal 800000000 -211484672 588515328 80000000 10 65536 634697315 0.927238 981319 1000000 1313 73362525 24579359752 61806 20524256 0.981319 0.980448 1894627 
22000001 1 normal 800000000 211484672 1011484672 80000000 10 65536 856009978 1.18163 851449 994582 4545 243905166 49277149613 39518 8063752 0.856087 -1 4236531 
22100001 2 normal 800000000 -221052928 578947072 80000000 10 65536 633246865 0.914252 1030247 1050000 1458 76708523 25701813132 67032 22320987 0.981188 -1 1890239 
22100001 1 normal 800000000 221052928 1021052928 80000000 10 65536 856755555 1.19177 894169 1044298 4836 246040039 49709716754 39518 8063752 0.856239 -1 4239549 
22200001 2 normal 800000000 -227672064 572327936 80000000 10 65536 631722443 0.90598 1079102 1100000 1616 79779869 26728708031 73180 24326915 0.981002 -1 1885478 
22200001 1 normal 800000000 227672064 1027672064 80000000 10 65536 858096743 1.19762 937081 1094030 5095 248140647 50134087571 39518 8063752 0.85654 0.859208 4246150 
22300001 2 normal 800000000 -235864064 564135936 80000000 10 65536 631334607 0.893561 1127934 1150000 1748 82796502 27738636191 77478 25744233 0.980812 -1 1884301 
22300001 1 normal 800000000 235864064 1035864064 80000000 10 65536 859122266 1.20572 979972 1143762 5352 250331349 50575979305 39518 8063752 0.856797 -1 4251425 
22400001 2 normal 800000000 -244252672 555747328 80000000 10 65536 630146277 0.881934 1176807 1200000 1900 86106466 28852346923 81776 27239694 0.980672 -1 1881151 
22400001 1 normal 800000000 244252672 1044252672 80000000 10 65536 859920292 1.21436 1022889 1193491 5633 252510718 51017595767 39518 8063752 0.857056 -1 4255382 
22500001 2 normal 800000000 -252641280 547358720 80000000 10 65536 629881375 0.868987 1225544 1250000 2042 89136032 29869941243 85766 28589871 0.980435 -1 1880210 
22500001 1 normal 800000000 252641280 1052641280 80000000 10 65536 860760178 1.22292 1065809 1243248 5903 254661405 51451786973 39518 8063752 0.857278 -1 4259748 
22600001 2 normal 800000000 -261095424 538904576 80000000 10 65536 629003671 0.856759 1274308 1300000 2206 92207965 30899605750 88867 29610524 0.980237 -1 1878231 
22600001 1 normal 800000000 261095424 1061095424 80000000 10 65536 861804534 1.23125 1108699 1292973 6197 256747471 51872533226 39518 8063752 0.85748 -1 4265672 
22700001 2 normal 800000000 -271515648 528484352 80000000 10 65536 626934866 0.842965 1323099 1350000 2332 95450281 31985628451 97577 32598663 0.980073 -1 1871935 
22700001 1 normal 800000000 271515648 1071515648 80000000 10 65536 863719770 1.24058 1151552 1342686 6483 259079152 52342728966 39518 8063752 0.857648 -1 4275207 
22800001 2 normal 800000000 -281935872 518064128 80000000 10 65536 626106642 0.827438 1371889 1400000 2452 98499855 33009063880 101550 33950457 0.979921 -1 1869925 
22800001 1 normal 800000000 281935872 1081935872 80000000 10 65536 865112971 1.25063 1194444 1392428 6762 261198638 52770780636 39518 8063752 0.857814 -1 4282731 
22900001 2 normal 800000000 -291569664 508430336 80000000 10 65536 625048473 0.813425 1420650 1450000 2593 101513651 34018639661 107299 35877628 0.979759 -1 1866650 
22900001 1 normal 800000000 291569664 1091569664 80000000 10 65536 866096220 1.26033 1237445 1442156 7050 263384902 53212606429 39518 8063752 0.858052 -1 4288672 
23000001 2 normal 800000000 -303366144 496633856 80000000 10 65536 624568244 0.795163 1469399 1500000 2707 104471995 35009993250 110704 36993889 0.979599 0.97616 1865098 
23000001 1 normal 800000000 303366144 1103366144 80000000 10 65536 866683998 1.27309 1280368 1491871 7344 265667377 53673324686 39518 8063752 0.85823 -1 4291933 
23100001 2 normal 800000000 -312672256 487327744 80000000 10 65536 622808988 0.782467 1518114 1550000 2840 107696025 36091819479 116838 39022374 0.979428 -1 1858927 
23100001 1 normal 800000000 312672256 1112672256 80000000 10 65536 867479231 1.28265 1323338 1541587 7619 268011392 54146023675 39518 8063752 0.858426 -1 4295660 
23200001 2 normal 800000000 -322895872 477104128 80000000 10 65536 621816478 0.767275 1566724 1600000 2961 110749683 37114918087 122831 41032237 0.979202 -1 1855960 
23200001 1 normal 800000000 322895872 1122895872 80000000 10 65536 869063727 1.29208 1366279 1591321 7896 270138430 54575072983 39518 8063752 0.858582 -1 4302878 
23300001 2 normal 800000000 -332333056 467666944 80000000 10 65536 620065959 0.754221 1615304 1650000 3103 113978747 38197233194 130218 43455847 0.978972 -1 1850350 
23300001 1 normal 800000000 332333056 1132333056 80000000 10 65536 870094059 1.30139 1409337 1641081 8183 272482102 55048593667 39518 8063752 0.858786 0.863276 4307988 
23400001 2 normal 800000000 -342622208 457377792 80000000 10 65536 619468125 0.73834 1663903 1700000 3224 116997091 39206833877 133917 44727832 0.978766 -1 1848856 
23400001 1 normal 800000000 342622208 1142622208 80000000 10 65536 870660415 1.31236 1452237 1690818 8462 274672547 55490691394 39518 8063752 0.858896 -1 4312509 
23500001 2 normal 800000000 -352911360 447088640 80000000 10 65536 618665581 0.722666 1712455 1750000 3353 120044740 40230245478 139394 46484906 0.978546 -1 1845751 
23500001 1 normal 800000000 352911360 1152911360 80000000 10 65536 872360044 1.3216 1495258 1740541 8748 276796801 55918884124 39518 8063752 0.859077 -1 4322065 
23600001 2 normal 800000000 -361758720 438241280 80000000 10 65536 617573684 0.709618 1760971 1800000 3482 123373334 41345064979 143479 47887772 0.978317 -1 1842706 
23600001 1 normal 800000000 361758720 1161758720 80000000 10 65536 873492648 1.33002 1538290 1790238 9012 278980026 56359311644 39518 8063752 0.859266 -1 4327175 
