time app subpolicy target_mem credit_bytes share min_mem min_mem_pct steal_size bytes_in_use need hits accesses shadow_q_hits survivor_items survivor_bytes evicted_items evicted_bytes hit_rate w_hit_rate live_items 
86450 1 normal 200000000 0 200000000 20000000 10 65536 338281 591.224 1 1720 0 0 0 0 0 0.000581395 -1 1720 
90033 2 normal 100000000 0 100000000 10000000 10 65536 590957 169.217 0 1776 0 0 0 0 0 0 -1 1776 
90033 1 normal 200000000 0 200000000 20000000 10 65536 352626 567.173 1 1792 0 0 0 0 0 0.000558036 -1 1792 
93643 2 normal 100000000 0 100000000 10000000 10 65536 615215 162.545 0 1849 0 0 0 0 0 0 -1 1849 
93643 1 normal 200000000 0 200000000 20000000 10 65536 366152 546.221 1 1857 0 0 0 0 0 0.000538503 -1 1857 
97230 2 normal 100000000 0 100000000 10000000 10 65536 630030 158.723 0 1912 0 0 0 0 0 0 -1 1912 
97230 1 normal 200000000 0 200000000 20000000 10 65536 387897 515.601 1 1942 0 0 0 0 0 0.000514933 -1 1942 
100852 2 normal 100000000 0 100000000 10000000 10 65536 653324 153.063 0 1997 0 0 0 0 0 0 -1 1997 
100852 1 normal 200000000 0 200000000 20000000 10 65536 398123 502.357 1 2012 0 0 0 0 0 0.000497018 -1 2012 
104457 2 normal 100000000 0 100000000 10000000 10 65536 671305 148.964 0 2071 0 0 0 0 0 0 -1 2071 
104457 1 normal 200000000 0 200000000 20000000 10 65536 417154 479.439 1 2080 0 0 0 0 0 0.000480769 -1 2080 
108032 2 normal 100000000 0 100000000 10000000 10 65536 691042 144.709 0 2140 0 0 0 0 0 0 -1 2140 
108032 1 normal 200000000 0 200000000 20000000 10 65536 428553 466.687 1 2151 0 0 0 0 0 0.0004649 -1 2151 
111628 2 normal 100000000 0 100000000 10000000 10 65536 713156 140.222 0 2208 0 0 0 0 0 0 -1 2208 
111628 1 normal 200000000 0 200000000 20000000 10 65536 440139 454.402 1 2214 0 0 0 0 0 0.000451671 -1 2214 
115233 2 normal 100000000 0 100000000 10000000 10 65536 738935 135.33 0 2279 0 0 0 0 0 0 -1 2279 
115233 1 normal 200000000 0 200000000 20000000 10 65536 452785 441.711 1 2294 0 0 0 0 0 0.00043592 -1 2294 
118882 2 normal 100000000 0 100000000 10000000 10 65536 755563 132.352 0 2343 0 0 0 0 0 0 -1 2343 
118882 1 normal 200000000 0 200000000 20000000 10 65536 466697 428.544 1 2372 0 0 0 0 0 0.000421585 -1 2372 
122444 2 normal 100000000 0 100000000 10000000 10 65536 778464 128.458 0 2419 0 0 0 0 0 0 -1 2419 
122444 1 normal 200000000 0 200000000 20000000 10 65536 478211 418.225 1 2430 0 0 0 0 0 0.000411523 -1 2430 
126028 2 normal 100000000 0 100000000 10000000 10 65536 795879 125.647 0 2484 0 0 0 0 0 0 -1 2484 
126028 1 normal 200000000 0 200000000 20000000 10 65536 492635 405.98 1 2499 0 0 0 0 0 0.00040016 -1 2499 
129634 2 normal 100000000 0 100000000 10000000 10 65536 829660 120.531 0 2565 0 0 0 0 0 0 -1 2565 
129634 1 normal 200000000 0 200000000 20000000 10 65536 511639 390.901 1 2583 0 0 0 0 0 0.000387147 -1 2583 
133250 2 normal 100000000 0 100000000 10000000 10 65536 858868 116.432 0 2642 0 0 0 0 0 0 -1 2642 
133250 1 normal 200000000 0 200000000 20000000 10 65536 519034 385.331 1 2662 0 0 0 0 0 0.000375657 -1 2662 
136855 2 normal 100000000 0 100000000 10000000 10 65536 887553 112.669 0 2725 0 0 0 0 0 0 -1 2725 
136855 1 normal 200000000 0 200000000 20000000 10 65536 534730 374.021 1 2751 0 0 0 0 0 0.000363504 -1 2751 
140462 2 normal 100000000 0 100000000 10000000 10 65536 911264 109.738 0 2788 0 0 0 0 0 0 -1 2788 
140462 1 normal 200000000 0 200000000 20000000 10 65536 550489 363.313 1 2826 0 0 0 0 0 0.000353857 -1 2826 
