accesses get set
22544385 1.709635224e-06 3.921858499e-06
22806529 1.716677172e-06 4.01162347e-06
23068673 1.723567876e-06 4.093995658e-06
23330817 1.73032122e-06 4.179153528e-06
23592961 1.736943224e-06 4.285159556e-06
23855105 1.743433858e-06 4.365092938e-06
24117249 1.74982556e-06 4.444963953e-06
24379393 1.756341339e-06 4.523878898e-06
24641537 1.762424347e-06 4.600140673e-06
24903681 1.768443218e-06 4.673770262e-06
25165825 1.774299502e-06 4.748297095e-06
25427969 1.780115855e-06 4.830007848e-06
25690113 1.785841066e-06 4.901257496e-06
25952257 1.791413663e-06 4.983136225e-06
26214401 1.796842079e-06 5.050389099e-06
26476545 1.802185361e-06 5.117548574e-06
26738689 1.807389278e-06 5.182296716e-06
27000833 1.812496111e-06 5.245162371e-06
27262977 1.817553153e-06 5.309252886e-06
27525121 1.822574034e-06 5.382564981e-06
27787265 1.827372857e-06 5.455470895e-06
28049409 1.832113212e-06 5.515854773e-06
28311553 1.836844691e-06 5.575681368e-06
28573697 1.841450192e-06 5.633666537e-06
28835841 1.846030356e-06 5.68995715e-06
29097985 1.850501464e-06 5.744310499e-06
29360129 1.854886429e-06 5.820727723e-06
29622273 1.859229771e-06 5.873417711e-06
29884417 1.863421022e-06 5.928330371e-06
30146561 1.867600781e-06 5.980186296e-06
30408705 1.871664376e-06 6.030826371e-06
30670849 1.87568107e-06 6.08163651e-06
30932993 1.879655612e-06 6.140529438e-06
31195137 1.883543543e-06 6.188649666e-06
31457281 1.887414455e-06 6.247393449e-06
31719425 1.891206505e-06 6.299206095e-06
31981569 1.895012996e-06 6.347469548e-06
32243713 1.898692092e-06 6.39723708e-06
32505857 1.902300096e-06 6.449465967e-06
32768001 1.90585852e-06 6.495015014e-06
33030145 1.909327492e-06 6.537587181e-06
33292289 1.912750064e-06 6.581673719e-06
33554433 1.916104764e-06 6.637515723e-06
33816577 1.9194021e-06 6.690815711e-06
34078721 1.922584504e-06 6.736049505e-06
34340865 1.925727e-06 6.78175386e-06
34603009 1.928763794e-06 6.831802165e-06
34865153 1.931746117e-06 6.880586409e-06
35127297 1.934697279e-06 6.920262009e-06
35389441 1.937676917e-06 6.976964258e-06
35651585 1.940560229e-06 7.012964332e-06
35913729 1.943455856e-06 7.062189478e-06
36175873 1.946255836e-06 7.098201088e-06
36438017 1.949038169e-06 7.141922134e-06
36700161 1.95181299e-06 7.17665754e-06
36962305 1.954525806e-06 7.219066132e-06
37224449 1.957186659e-06 7.25226233e-06
37486593 1.959877148e-06 7.296125772e-06
37748737 1.962573423e-06 7.336435556e-06
38010881 1.965166947e-06 7.368295524e-06
38273025 1.967828646e-06 7.39992706e-06
38535169 1.970393564e-06 7.439187912e-06
38797313 1.972956426e-06 7.470946878e-06
39059457 1.975462357e-06 7.501939658e-06
39321601 1.97793569e-06 7.540075352e-06
39583745 1.980358806e-06 7.579692764e-06
39845889 1.98275009e-06 7.613105171e-06
40108033 1.985130086e-06 7.651061014e-06
40370177 1.987525891e-06 7.68103171e-06
40632321 1.989861224e-06 7.712181337e-06
40894465 1.992182561e-06 7.739899219e-06
41156609 1.994479793e-06 7.768312004e-06
41418753 1.996733437e-06 7.81294516e-06
41680897 1.999022982e-06 7.841069107e-06
41943041 2.001238132e-06 7.869128513e-06
42205185 2.003423703e-06 7.895691486e-06
42467329 2.005530205e-06 7.923214335e-06
42729473 2.007674142e-06 7.948415416e-06
42991617 2.00975895e-06 7.980638969e-06
43253761 2.011835804e-06 8.005772908e-06
43515905 2.013920934e-06 8.040170876e-06
43778049 2.015971293e-06 8.065051689e-06
44040193 2.017987524e-06 8.088925815e-06
44302337 2.019992062e-06 8.117867305e-06
44564481 2.021947615e-06 8.151580316e-06
44826625 2.02390914e-06 8.174717551e-06
45088769 2.0258542e-06 8.19815904e-06
45350913 2.0277777e-06 8.23306378e-06
45613057 2.029679201e-06 8.2556609e-06
45875201 2.031531329e-06 8.277000557e-06
46137345 2.033408989e-06 8.304486079e-06
46399489 2.035260498e-06 8.326995353e-06
46661633 2.03709146e-06 8.35436163e-06
46923777 2.038912747e-06 8.37515638e-06
47185921 2.040665013e-06 8.395770114e-06
47448065 2.042467192e-06 8.428292311e-06
47710209 2.044198173e-06 8.449370687e-06
47972353 2.045944006e-06 8.472309174e-06
48234497 2.047672812e-06 8.497146315e-06
48496641 2.049355791e-06 8.523518762e-06
48758785 2.051041348e-06 8.542462748e-06
49020929 2.05262938e-06 8.562681391e-06
49283073 2.054256948e-06 8.581297914e-06
49545217 2.055878211e-06 8.608873901e-06
49807361 2.057494576e-06 8.626340564e-06
50069505 2.059064676e-06 8.650672992e-06
50331649 2.060626289e-06 8.669491866e-06
50593793 2.062298158e-06 8.687710479e-06
50855937 2.063804529e-06 8.70516539e-06
51118081 2.065323894e-06 8.723656013e-06
51380225 2.066840056e-06 8.750214342e-06
51642369 2.068312825e-06 8.774378451e-06
51904513 2.069724055e-06 8.793514559e-06
52166657 2.071105805e-06 8.811079839e-06
52428801 2.072499696e-06 8.832181567e-06
52690945 2.073880894e-06 8.850250357e-06
52953089 2.075278633e-06 8.865668702e-06
53215233 2.076604083e-06 8.887153249e-06
53477377 2.077888546e-06 8.910661379e-06
53739521 2.079207873e-06 8.931981156e-06
54001665 2.080532797e-06 8.947129295e-06
54263809 2.081820337e-06 8.962338451e-06
54525953 2.083125372e-06 8.977580161e-06
54788097 2.084412882e-06 8.99836291e-06
55050241 2.085700881e-06 9.013415054e-06
55312385 2.086960907e-06 9.028226155e-06
55574529 2.088183386e-06 9.052262179e-06
55836673 2.089408159e-06 9.070037375e-06
56098817 2.090629526e-06 9.09166172e-06
56360961 2.091816056e-06 9.109245086e-06
56623105 2.092990153e-06 9.122690994e-06
56885249 2.094131524e-06 9.136181826e-06
57147393 2.095260009e-06 9.154743229e-06
57409537 2.096404421e-06 9.176243385e-06
57671681 2.097517414e-06 9.18942141e-06
57933825 2.098641859e-06 9.203151236e-06
58195969 2.099755658e-06 9.217115934e-06
58458113 2.100871579e-06 9.235541954e-06
58720257 2.101966893e-06 9.248987009e-06
58982401 2.103050233e-06 9.260907253e-06
59244545 2.104121083e-06 9.273624774e-06
59506689 2.105323659e-06 9.294973381e-06
59768833 2.106366126e-06 9.315092554e-06
60030977 2.107352229e-06 9.328172974e-06
60293121 2.108515301e-06 9.341232647e-06
60555265 2.109525624e-06 9.358504323e-06
60817409 2.110492297e-06 9.370400757e-06
61079553 2.111490505e-06 9.382997111e-06
61341697 2.112490289e-06 9.403597203e-06
61603841 2.11346499e-06 9.421737102e-06
61865985 2.114583615e-06 9.435772119e-06
62128129 2.115559785e-06 9.45382362e-06
62390273 2.116533778e-06 9.465027992e-06
62652417 2.117487825e-06 9.475428177e-06
62914561 2.118438627e-06 9.486477898e-06
63176705 2.119331472e-06 9.496589264e-06
63438849 2.120260855e-06 9.519464555e-06
63700993 2.121319603e-06 9.531079169e-06
63963137 2.122190883e-06 9.542908011e-06
64225281 2.123108783e-06 9.553490135e-06
64487425 2.124149044e-06 9.569542101e-06
64749569 2.125037329e-06 9.580435732e-06
65011713 2.125903915e-06 9.591874552e-06
65273857 2.126750993e-06 9.601616119e-06
65536001 2.127600022e-06 9.620892302e-06
65798145 2.12843604e-06 9.635284924e-06
66060289 2.129279395e-06 9.645502301e-06
66322433 2.130120275e-06 9.655757451e-06
66584577 2.130954353e-06 9.665285725e-06
66846721 2.131799691e-06 9.675541865e-06
67108865 2.132624597e-06 9.689094051e-06
67371009 2.133437532e-06 9.706764547e-06
67633153 2.134267808e-06 9.717027145e-06
67895297 2.135073173e-06 9.725175569e-06
68157441 2.135845904e-06 9.734328049e-06
68419585 2.136654105e-06 9.748276866e-06
68681729 2.137449105e-06 9.757687982e-06
68943873 2.13823935e-06 9.765714608e-06
69206017 2.139051843e-06 9.774822797e-06
69468161 2.139831616e-06 9.791382396e-06
69730305 2.140595845e-06 9.800629392e-06
69992449 2.141344007e-06 9.814273933e-06
70254593 2.14207988e-06 9.827935075e-06
70516737 2.142849664e-06 9.838008085e-06
70778881 2.143585064e-06 9.851225181e-06
71041025 2.144323934e-06 9.859997259e-06
71303169 2.145048268e-06 9.86843914e-06
71565313 2.145745889e-06 9.889340047e-06
71827457 2.14648109e-06 9.902097603e-06
72089601 2.147205742e-06 9.910406548e-06
72351745 2.147885489e-06 9.919590672e-06
72613889 2.148598778e-06 9.927276073e-06
72876033 2.149281481e-06 9.93558605e-06
73138177 2.149977599e-06 9.950558418e-06
73400321 2.150660679e-06 9.966289247e-06
73662465 2.151365803e-06 9.98032155e-06
73924609 2.152040725e-06 9.987474454e-06
74186753 2.152710365e-06 9.996720114e-06
74448897 2.153382825e-06 1.001416287e-05
74711041 2.154044222e-06 1.002180409e-05
74973185 2.154679679e-06 1.003277839e-05
75235329 2.155306029e-06 1.00399648e-05
75497473 2.155968971e-06 1.005532651e-05
75759617 2.156622903e-06 1.006256093e-05
76021761 2.157264078e-06 1.00715037e-05
76283905 2.15789791e-06 1.007885001e-05
76546049 2.158519066e-06 1.008588668e-05
76808193 2.159160822e-06 1.009247564e-05
77070337 2.159803014e-06 1.009934792e-05
77332481 2.160426667e-06 1.011091563e-05
77594625 2.161066854e-06 1.012496705e-05
77856769 2.161679123e-06 1.013167014e-05
78118913 2.162297921e-06 1.013815273e-05
78381057 2.162905371e-06 1.014487808e-05
78643201 2.163473269e-06 1.015140021e-05
78905345 2.164057874e-06 1.015833164e-05
79167489 2.164644228e-06 1.01654401e-05
79429633 2.165266207e-06 1.018112544e-05
79691777 2.165835242e-06 1.020122801e-05
79953921 2.166378159e-06 1.02088968e-05
80216065 2.166917277e-06 1.021922258e-05
80478209 2.167477921e-06 1.022567155e-05
80740353 2.168029525e-06 1.02421389e-05
81002497 2.168568608e-06 1.026222617e-05
81264641 2.169088462e-06 1.028285165e-05
81526785 2.169612676e-06 1.03014056e-05
81788929 2.1701136e-06 1.030701411e-05
82051073 2.17062997e-06 1.032074809e-05
82313217 2.171149624e-06 1.034079595e-05
82575361 2.171637035e-06 1.036076797e-05
82837505 2.172128544e-06 1.037389801e-05
83099649 2.172645183e-06 1.037904329e-05
83361793 2.173117091e-06 1.039587471e-05
83623937 2.173609156e-06 1.040477983e-05
83886081 2.174113023e-06 1.0410578e-05
84148225 2.174586001e-06 1.041603842e-05
84410369 2.175080648e-06 1.042108334e-05
84672513 2.175563339e-06 1.042640969e-05
84934657 2.176026497e-06 1.043406432e-05
85196801 2.176514434e-06 1.045626844e-05
85458945 2.177002257e-06 1.047688911e-05
85721089 2.177474053e-06 1.048157237e-05
85983233 2.177949288e-06 1.048625652e-05
86245377 2.178422214e-06 1.049087259e-05
86507521 2.178852185e-06 1.049754811e-05
86769665 2.179310478e-06 1.051594405e-05
87031809 2.179774433e-06 1.053409121e-05
87293953 2.180199665e-06 1.054818272e-05
87556097 2.180632985e-06 1.056449802e-05
87818241 2.181067497e-06 1.056953613e-05
88080385 2.181510096e-06 1.057463339e-05
88342529 2.181950984e-06 1.058213694e-05
88604673 2.1823672e-06 1.059876901e-05
88866817 2.182797029e-06 1.061205074e-05
89128961 2.18320309e-06 1.061880353e-05
89391105 2.183638228e-06 1.063266689e-05
89653249 2.184049148e-06 1.064310821e-05
89915393 2.184475256e-06 1.065996685e-05
90177537 2.184895171e-06 1.067695727e-05
90439681 2.185315272e-06 1.06863018e-05
90701825 2.185705669e-06 1.06920282e-05
90963969 2.186102501e-06 1.069578019e-05
91226113 2.186490672e-06 1.070160668e-05
91488257 2.186902644e-06 1.07135223e-05
91750401 2.187309013e-06 1.071744321e-05
92012545 2.187692777e-06 1.072130369e-05
92274689 2.188094214e-06 1.072477603e-05
92536833 2.188484483e-06 1.07288005e-05
92798977 2.188877245e-06 1.073437268e-05
93061121 2.189267536e-06 1.073764658e-05
93323265 2.189646527e-06 1.074103195e-05
93585409 2.190028128e-06 1.075334819e-05
93847553 2.190373766e-06 1.075754573e-05
94109697 2.190730665e-06 1.076099133e-05
94371841 2.191096506e-06 1.076797023e-05
94633985 2.191442356e-06 1.077152192e-05
94896129 2.191781048e-06 1.077639527e-05
95158273 2.192226293e-06 1.07858134e-05
95420417 2.192571356e-06 1.080416917e-05
95682561 2.192905937e-06 1.080833275e-05
95944705 2.193226026e-06 1.081145142e-05
96206849 2.193550067e-06 1.08161097e-05
96468993 2.193890125e-06 1.082285382e-05
96731137 2.194249408e-06 1.082659726e-05
96993281 2.194573881e-06 1.08365895e-05
97255425 2.194877212e-06 1.085111498e-05
97517569 2.195198837e-06 1.086539845e-05
97779713 2.195516662e-06 1.086894336e-05
98041857 2.195848851e-06 1.087419284e-05
98304001 2.196176807e-06 1.088880477e-05
98566145 2.196501071e-06 1.090541717e-05
98828289 2.196832428e-06 1.090817887e-05
99090433 2.197156118e-06 1.091266101e-05
99352577 2.197485165e-06 1.092466485e-05
99614721 2.197795575e-06 1.092686984e-05
99876865 2.198077013e-06 1.092969705e-05
