time app subpolicy target_mem credit_bytes share min_mem min_mem_pct steal_size bytes_in_use need hits accesses shadow_q_hits survivor_items survivor_bytes evicted_items evicted_bytes hit_rate w_hit_rate live_items misses miss_rate shq_size AET_ht_size 
1 6 normal 400000000 0 400000000 200000000 50 100000 0 inf 0 0 0 0 0 0 0 -nan -1 0 0 -nan 0 0 
1 5 normal 400000000 0 400000000 200000000 50 100000 0 inf 0 0 0 0 0 0 0 -nan -1 0 0 -nan 0 0 
1 1 normal 1300000000 0 1300000000 650000000 50 100000 0 inf 0 0 0 0 0 0 0 -nan -1 0 0 -nan 0 0 
1 2 normal 650000000 0 650000000 325000000 50 100000 0 inf 0 0 0 0 0 0 0 -nan -1 0 0 -nan 0 0 
1 3 normal 800000000 0 800000000 400000000 50 100000 0 inf 0 0 0 0 0 0 0 -nan -1 0 0 -nan 0 0 
1 4 normal 500000000 0 500000000 250000000 50 100000 0 inf 0 0 0 0 0 0 0 -nan -1 0 0 -nan 0 0 
200002 6 normal 400000000 0 400000000 200000000 50 100000 3558016 112.422 16304 33328 0 0 0 0 0 0.489198 -1 17024 17024 0.510802 0 159 
200002 5 normal 400000000 0 400000000 200000000 50 100000 3765553 106.226 15526 33543 0 0 0 0 0 0.462869 -1 18017 18017 0.537131 0 176 
200002 1 normal 1300000000 0 1300000000 650000000 50 100000 6927514 187.658 93 33239 0 0 0 0 0 0.00279792 -1 33146 33146 0.997202 0 333 
200002 2 normal 650000000 0 650000000 325000000 50 100000 6872547 94.5792 172 33055 0 0 0 0 0 0.00520345 -1 32883 32883 0.994797 0 337 
200002 3 normal 800000000 0 800000000 400000000 50 100000 5534320 144.553 6740 33220 0 0 0 0 0 0.20289 -1 26480 26480 0.79711 0 274 
200002 4 normal 500000000 0 500000000 250000000 50 100000 5376316 93.0005 7892 33616 0 0 0 0 0 0.234769 -1 25724 25724 0.765231 0 266 
300002 6 normal 400000000 0 400000000 200000000 50 100000 5074520 78.8252 25668 49948 0 0 0 0 0 0.513894 -1 24280 24280 0.486106 0 228 
300002 5 normal 400000000 0 400000000 200000000 50 100000 5372554 74.4525 24446 50152 0 0 0 0 0 0.487438 -1 25706 25706 0.512562 0 248 
300002 1 normal 1300000000 0 1300000000 650000000 50 100000 10368490 125.38 211 49821 0 0 0 0 0 0.00423516 -1 49610 49610 0.995765 0 493 
300002 2 normal 650000000 0 650000000 325000000 50 100000 10304745 63.0777 376 49681 0 0 0 0 0 0.00756829 -1 49305 49305 0.992432 0 504 
300002 3 normal 800000000 0 800000000 400000000 50 100000 8053397 99.337 11300 49833 0 0 0 0 0 0.226757 -1 38533 38533 0.773243 0 383 
300002 4 normal 500000000 0 500000000 250000000 50 100000 7797372 64.1242 13258 50566 0 0 0 0 0 0.262192 -1 37308 37308 0.737808 0 387 
400002 6 normal 400000000 0 400000000 200000000 50 100000 6510977 61.4347 35536 66689 0 0 0 0 0 0.532861 -1 31153 31153 0.467139 0 309 
